A201901099,12.6.2019,Mannheim,K7248,Wischroboter,21,289.0
A201901100,10.6.2019,Neustadt,K6862,Wischroboter,24,289.0
A201901101,3.6.2019,Speyer,K2757,Spielzeugroboter,2,49.99
A201901102,9.6.2019,Heidelberg,K0204,Staubsaugerroboter,38,398.95
A201901103,4.6.2019,Schwetzingen,K2500,Staubsaugerroboter,1,398.95
A201901104,10.6.2019,Speyer,K2359,NAO-Roboter,20,8400.0
A201901105,10.6.2019,Schwetzingen,K3389,Staubsaugerroboter,16,398.95
A201901106,5.6.2019,Neustadt,K2107,Staubsaugerroboter,27,398.95
A201901107,10.6.2019,Schwetzingen,K0524,Lego-Roboter,40,129.9
A201901108,9.6.2019,Heidelberg,K9300,Spielzeugroboter,36,49.99
A201901109,3.6.2019,Neustadt,K6571,Spielzeugroboter,36,49.99
A201901110,3.6.2019,Heidelberg,K3762,NAO-Roboter,29,8400.0
A201901111,2.6.2019,Heidelberg,K6505,Lego-Roboter,26,129.9
A201901112,8.6.2019,Heidelberg,K1748,Lego-Roboter,41,129.9
A201901113,2.6.2019,Speyer,K5458,NAO-Roboter,32,8400.0
A201901114,4.6.2019,Mannheim,K4382,Staubsaugerroboter,1,398.95
A201901115,11.6.2019,Heidelberg,K8769,Lego-Roboter,39,129.9
A201901116,6.6.2019,Speyer,K6085,NAO-Roboter,4,8400.0
A201901117,2.6.2019,Schwetzingen,K1760,Spielzeugroboter,14,49.99
A201901118,11.6.2019,Speyer,K6873,Staubsaugerroboter,19,398.95
A201901119,12.6.2019,Neustadt,K2487,Staubsaugerroboter,29,398.95
A201901120,8.6.2019,Schwetzingen,K0402,Wischroboter,13,289.0
A201901121,11.6.2019,Mannheim,K3549,NAO-Roboter,34,8400.0
A201901122,10.6.2019,Neustadt,K9862,Wischroboter,28,289.0
A201901123,8.6.2019,Schwetzingen,K9085,Wischroboter,18,289.0
A201901124,6.6.2019,Schwetzingen,K6195,Staubsaugerroboter,14,398.95
A201901125,5.6.2019,Mannheim,K0338,NAO-Roboter,32,8400.0
A201901126,1.6.2019,Mannheim,K7684,Wischroboter,37,289.0
A201901127,4.6.2019,Neustadt,K7587,Lego-Roboter,19,129.9
A201901128,4.6.2019,Heidelberg,K6774,Spielzeugroboter,25,49.99
A201901129,11.6.2019,Speyer,K7852,NAO-Roboter,13,8400.0
A201901130,3.6.2019,Mannheim,K8886,Spielzeugroboter,4,49.99
A201901131,3.6.2019,Schwetzingen,K6578,Staubsaugerroboter,7,398.95
A201901132,12.6.2019,Schwetzingen,K9157,Wischroboter,30,289.0
A201901133,9.6.2019,Schwetzingen,K7494,Wischroboter,33,289.0
A201901134,9.6.2019,Mannheim,K6369,Lego-Roboter,22,129.9
A201901135,5.6.2019,Speyer,K8018,Staubsaugerroboter,38,398.95
A201901136,11.6.2019,Mannheim,K8833,Staubsaugerroboter,6,398.95
A201901137,7.6.2019,Heidelberg,K7934,Wischroboter,39,289.0
A201901138,4.6.2019,Neustadt,K4721,Staubsaugerroboter,39,398.95
A201901139,10.6.2019,Heidelberg,K6613,Staubsaugerroboter,30,398.95
A201901140,6.6.2019,Neustadt,K9201,NAO-Roboter,34,8400.0
A201901141,5.6.2019,Mannheim,K8807,Lego-Roboter,17,129.9
A201901142,4.6.2019,Speyer,K2848,Lego-Roboter,32,129.9
A201901143,7.6.2019,Mannheim,K0943,Lego-Roboter,12,129.9
A201901144,2.6.2019,Mannheim,K0032,Wischroboter,28,289.0
A201901145,1.6.2019,Schwetzingen,K8962,Spielzeugroboter,19,49.99
A201901146,2.6.2019,Neustadt,K2477,Wischroboter,14,289.0
A201901147,9.6.2019,Schwetzingen,K5074,Wischroboter,11,289.0
A201901148,9.6.2019,Heidelberg,K1792,NAO-Roboter,31,8400.0
A201901149,2.6.2019,Mannheim,K4233,Wischroboter,39,289.0
A201901150,9.6.2019,Neustadt,K5632,Staubsaugerroboter,19,398.95
A201901151,6.6.2019,Schwetzingen,K1861,NAO-Roboter,7,8400.0
A201901152,11.6.2019,Speyer,K5157,Lego-Roboter,3,129.9
A201901153,11.6.2019,Mannheim,K2191,NAO-Roboter,4,8400.0
A201901154,11.6.2019,Schwetzingen,K6646,Wischroboter,23,289.0
A201901155,10.6.2019,Heidelberg,K1634,Spielzeugroboter,28,49.99
A201901156,10.6.2019,Schwetzingen,K7552,Lego-Roboter,19,129.9
A201901157,12.6.2019,Speyer,K3839,Spielzeugroboter,33,49.99
A201901158,4.6.2019,Speyer,K6815,Lego-Roboter,22,129.9
A201901159,4.6.2019,Speyer,K2513,Lego-Roboter,18,129.9
A201901160,2.6.2019,Speyer,K1067,NAO-Roboter,7,8400.0
A201901161,7.6.2019,Mannheim,K4705,Spielzeugroboter,36,49.99
A201901162,6.6.2019,Speyer,K2276,Spielzeugroboter,21,49.99
A201901163,1.6.2019,Speyer,K1029,Staubsaugerroboter,16,398.95
A201901164,2.6.2019,Mannheim,K8558,Wischroboter,32,289.0
A201901165,6.6.2019,Mannheim,K0306,Staubsaugerroboter,7,398.95
A201901166,6.6.2019,Neustadt,K8180,Wischroboter,5,289.0
A201901167,3.6.2019,Heidelberg,K4282,NAO-Roboter,34,8400.0
A201901168,8.6.2019,Speyer,K7307,Lego-Roboter,36,129.9
A201901169,12.6.2019,Speyer,K3424,NAO-Roboter,12,8400.0
A201901170,9.6.2019,Speyer,K4776,Lego-Roboter,25,129.9
A201901171,2.6.2019,Neustadt,K7344,Staubsaugerroboter,23,398.95
A201901172,1.6.2019,Neustadt,K2029,NAO-Roboter,20,8400.0
A201901173,6.6.2019,Schwetzingen,K3181,NAO-Roboter,34,8400.0
A201901174,4.6.2019,Neustadt,K3452,Staubsaugerroboter,5,398.95
