A201900921,9.5.2019,Speyer,K4515,Wischroboter,5,289.0
A201900922,6.5.2019,Heidelberg,K9443,NAO-Roboter,1,8400.0
A201900923,3.5.2019,Mannheim,K1887,Staubsaugerroboter,8,398.95
A201900924,7.5.2019,Neustadt,K9029,Staubsaugerroboter,32,398.95
A201900925,12.5.2019,Heidelberg,K4156,NAO-Roboter,15,8400.0
A201900926,2.5.2019,Mannheim,K9228,Lego-Roboter,10,129.9
A201900927,7.5.2019,Mannheim,K8308,Spielzeugroboter,32,49.99
A201900928,10.5.2019,Neustadt,K9890,NAO-Roboter,35,8400.0
A201900929,5.5.2019,Speyer,K1340,NAO-Roboter,35,8400.0
A201900930,3.5.2019,Neustadt,K1683,NAO-Roboter,4,8400.0
A201900931,6.5.2019,Schwetzingen,K1729,Wischroboter,31,289.0
A201900932,10.5.2019,Schwetzingen,K1746,NAO-Roboter,18,8400.0
A201900933,10.5.2019,Schwetzingen,K5574,Staubsaugerroboter,29,398.95
A201900934,3.5.2019,Schwetzingen,K7186,Wischroboter,21,289.0
A201900935,1.5.2019,Neustadt,K7364,Lego-Roboter,9,129.9
A201900936,5.5.2019,Mannheim,K7630,Wischroboter,35,289.0
A201900937,2.5.2019,Speyer,K9030,Wischroboter,16,289.0
A201900938,9.5.2019,Heidelberg,K0372,Wischroboter,13,289.0
A201900939,2.5.2019,Schwetzingen,K4373,Spielzeugroboter,13,49.99
A201900940,9.5.2019,Heidelberg,K8651,Spielzeugroboter,22,49.99
A201900941,1.5.2019,Neustadt,K9031,Wischroboter,20,289.0
A201900942,2.5.2019,Mannheim,K5311,NAO-Roboter,1,8400.0
A201900943,10.5.2019,Neustadt,K8950,Lego-Roboter,3,129.9
A201900944,5.5.2019,Mannheim,K0406,Spielzeugroboter,27,49.99
A201900945,2.5.2019,Speyer,K2772,Wischroboter,40,289.0
A201900946,12.5.2019,Mannheim,K2460,NAO-Roboter,9,8400.0
A201900947,6.5.2019,Neustadt,K5738,Wischroboter,32,289.0
A201900948,6.5.2019,Neustadt,K8789,NAO-Roboter,8,8400.0
A201900949,11.5.2019,Neustadt,K4538,Lego-Roboter,23,129.9
A201900950,12.5.2019,Schwetzingen,K0742,Spielzeugroboter,8,49.99
A201900951,1.5.2019,Speyer,K4053,Staubsaugerroboter,13,398.95
A201900952,12.5.2019,Speyer,K4845,Staubsaugerroboter,21,398.95
A201900953,9.5.2019,Schwetzingen,K8204,Lego-Roboter,25,129.9
A201900954,3.5.2019,Speyer,K0686,Lego-Roboter,4,129.9
A201900955,4.5.2019,Heidelberg,K7970,Staubsaugerroboter,38,398.95
