A201900001,10.1.2019,Mannheim,K6175,Wischroboter,20,289.0
A201900002,6.1.2019,Heidelberg,K0037,Spielzeugroboter,9,49.99
A201900003,12.1.2019,Schwetzingen,K1297,Staubsaugerroboter,12,398.95
A201900004,10.1.2019,Mannheim,K5955,Wischroboter,22,289.0
A201900005,2.1.2019,Speyer,K8194,NAO-Roboter,25,8400.0
A201900006,12.1.2019,Heidelberg,K0658,Wischroboter,23,289.0
A201900007,12.1.2019,Neustadt,K4978,Wischroboter,28,289.0
A201900008,1.1.2019,Speyer,K4211,Spielzeugroboter,36,49.99
A201900009,2.1.2019,Schwetzingen,K3423,Wischroboter,11,289.0
A201900010,1.1.2019,Mannheim,K7322,Staubsaugerroboter,5,398.95
A201900011,8.1.2019,Neustadt,K0904,Spielzeugroboter,39,49.99
A201900012,4.1.2019,Heidelberg,K9170,NAO-Roboter,1,8400.0
A201900013,9.1.2019,Neustadt,K8655,Wischroboter,16,289.0
A201900014,7.1.2019,Neustadt,K7423,Spielzeugroboter,35,49.99
A201900015,7.1.2019,Schwetzingen,K2285,Staubsaugerroboter,35,398.95
A201900016,10.1.2019,Schwetzingen,K5019,Lego-Roboter,9,129.9
A201900017,11.1.2019,Speyer,K1379,Spielzeugroboter,34,49.99
A201900018,10.1.2019,Heidelberg,K2755,Spielzeugroboter,3,49.99
A201900019,10.1.2019,Speyer,K5650,Staubsaugerroboter,18,398.95
A201900020,1.1.2019,Neustadt,K5919,NAO-Roboter,1,8400.0
A201900021,12.1.2019,Schwetzingen,K5343,NAO-Roboter,7,8400.0
A201900022,5.1.2019,Mannheim,K7116,Spielzeugroboter,7,49.99
A201900023,2.1.2019,Neustadt,K3584,Spielzeugroboter,42,49.99
A201900024,5.1.2019,Speyer,K5930,Lego-Roboter,41,129.9
A201900025,6.1.2019,Neustadt,K8037,Spielzeugroboter,26,49.99
A201900026,3.1.2019,Neustadt,K9400,Spielzeugroboter,10,49.99
A201900027,3.1.2019,Heidelberg,K8559,Spielzeugroboter,20,49.99
A201900028,9.1.2019,Schwetzingen,K5170,Lego-Roboter,10,129.9
A201900029,1.1.2019,Mannheim,K6577,Lego-Roboter,19,129.9
A201900030,5.1.2019,Speyer,K1808,NAO-Roboter,17,8400.0
A201900031,2.1.2019,Speyer,K0646,NAO-Roboter,35,8400.0
A201900032,5.1.2019,Speyer,K8128,NAO-Roboter,22,8400.0
A201900033,11.1.2019,Heidelberg,K1045,Lego-Roboter,30,129.9
A201900034,7.1.2019,Schwetzingen,K5340,NAO-Roboter,40,8400.0
A201900035,7.1.2019,Heidelberg,K4360,Wischroboter,32,289.0
A201900036,10.1.2019,Neustadt,K2504,NAO-Roboter,7,8400.0
A201900037,6.1.2019,Heidelberg,K6795,NAO-Roboter,37,8400.0
A201900038,8.1.2019,Speyer,K7224,Spielzeugroboter,27,49.99
A201900039,10.1.2019,Mannheim,K2426,Wischroboter,12,289.0
A201900040,7.1.2019,Mannheim,K9492,Spielzeugroboter,11,49.99
A201900041,12.1.2019,Schwetzingen,K9745,Staubsaugerroboter,35,398.95
A201900042,7.1.2019,Neustadt,K7407,Lego-Roboter,41,129.9
A201900043,9.1.2019,Heidelberg,K6736,Staubsaugerroboter,17,398.95
A201900044,3.1.2019,Neustadt,K8906,NAO-Roboter,12,8400.0
A201900045,10.1.2019,Neustadt,K1194,NAO-Roboter,19,8400.0
A201900046,10.1.2019,Speyer,K3778,Wischroboter,41,289.0
A201900047,7.1.2019,Speyer,K9275,Wischroboter,32,289.0
A201900048,10.1.2019,Heidelberg,K5036,Lego-Roboter,12,129.9
A201900049,10.1.2019,Heidelberg,K1161,Staubsaugerroboter,15,398.95
A201900050,9.1.2019,Mannheim,K8257,Wischroboter,40,289.0
A201900051,5.1.2019,Neustadt,K8269,NAO-Roboter,37,8400.0
A201900052,8.1.2019,Schwetzingen,K1635,NAO-Roboter,4,8400.0
A201900053,5.1.2019,Mannheim,K1808,Spielzeugroboter,35,49.99
A201900054,8.1.2019,Speyer,K8416,Lego-Roboter,14,129.9
A201900055,3.1.2019,Schwetzingen,K7363,NAO-Roboter,28,8400.0
A201900056,8.1.2019,Heidelberg,K6943,Staubsaugerroboter,29,398.95
A201900057,10.1.2019,Heidelberg,K4927,NAO-Roboter,10,8400.0
A201900058,4.1.2019,Speyer,K1752,NAO-Roboter,17,8400.0
A201900059,7.1.2019,Speyer,K8070,Spielzeugroboter,42,49.99
A201900060,8.1.2019,Speyer,K2148,NAO-Roboter,31,8400.0
A201900061,2.1.2019,Neustadt,K0046,NAO-Roboter,33,8400.0
A201900062,3.1.2019,Speyer,K2294,Lego-Roboter,24,129.9
A201900063,7.1.2019,Mannheim,K8281,Wischroboter,29,289.0
A201900064,9.1.2019,Schwetzingen,K9156,Wischroboter,8,289.0
A201900065,7.1.2019,Speyer,K2167,Lego-Roboter,28,129.9
A201900066,11.1.2019,Speyer,K1665,NAO-Roboter,28,8400.0
A201900067,7.1.2019,Speyer,K2113,Staubsaugerroboter,10,398.95
A201900068,6.1.2019,Schwetzingen,K6116,Spielzeugroboter,12,49.99
A201900069,6.1.2019,Speyer,K0657,Spielzeugroboter,37,49.99
A201900070,1.1.2019,Heidelberg,K9262,Spielzeugroboter,7,49.99
A201900071,2.1.2019,Neustadt,K8847,Wischroboter,4,289.0
A201900072,1.1.2019,Schwetzingen,K1544,Wischroboter,11,289.0
A201900073,1.1.2019,Heidelberg,K3316,Wischroboter,26,289.0
A201900074,7.1.2019,Heidelberg,K8705,Lego-Roboter,19,129.9
A201900075,7.1.2019,Neustadt,K1263,Wischroboter,8,289.0
A201900076,1.1.2019,Speyer,K0492,Lego-Roboter,30,129.9
A201900077,8.1.2019,Schwetzingen,K2154,Wischroboter,3,289.0
A201900078,3.1.2019,Heidelberg,K0184,NAO-Roboter,19,8400.0
A201900079,12.1.2019,Schwetzingen,K6106,Lego-Roboter,5,129.9
A201900080,8.1.2019,Schwetzingen,K8630,NAO-Roboter,23,8400.0
A201900081,11.1.2019,Heidelberg,K9885,Wischroboter,13,289.0
A201900082,7.1.2019,Mannheim,K0872,NAO-Roboter,19,8400.0
A201900083,8.1.2019,Speyer,K1998,Staubsaugerroboter,16,398.95
A201900084,6.1.2019,Heidelberg,K2656,Lego-Roboter,27,129.9
A201900085,3.1.2019,Mannheim,K8680,Spielzeugroboter,21,49.99
A201900086,11.1.2019,Speyer,K8055,Spielzeugroboter,23,49.99
A201900087,9.1.2019,Mannheim,K2528,NAO-Roboter,11,8400.0
A201900088,5.1.2019,Mannheim,K7910,Wischroboter,39,289.0
A201900089,12.1.2019,Speyer,K5180,Spielzeugroboter,22,49.99
A201900090,1.1.2019,Schwetzingen,K2108,Staubsaugerroboter,21,398.95
A201900091,7.1.2019,Schwetzingen,K4828,NAO-Roboter,12,8400.0
A201900092,5.1.2019,Speyer,K6633,Staubsaugerroboter,22,398.95
A201900093,12.1.2019,Heidelberg,K8318,Spielzeugroboter,22,49.99
A201900094,7.1.2019,Mannheim,K8971,Wischroboter,25,289.0
A201900095,7.1.2019,Heidelberg,K6391,Wischroboter,25,289.0
A201900096,3.1.2019,Speyer,K2717,Staubsaugerroboter,32,398.95
A201900097,4.1.2019,Heidelberg,K8951,NAO-Roboter,29,8400.0
A201900098,8.1.2019,Schwetzingen,K4299,Staubsaugerroboter,34,398.95
A201900099,10.1.2019,Speyer,K5404,Lego-Roboter,22,129.9
A201900100,4.1.2019,Schwetzingen,K1382,Staubsaugerroboter,34,398.95
A201900101,12.1.2019,Heidelberg,K2843,Spielzeugroboter,26,49.99
A201900102,7.1.2019,Speyer,K3889,Lego-Roboter,32,129.9
A201900103,8.1.2019,Schwetzingen,K2375,Staubsaugerroboter,3,398.95
A201900104,5.1.2019,Schwetzingen,K4670,Lego-Roboter,33,129.9
A201900105,8.1.2019,Schwetzingen,K1002,Lego-Roboter,3,129.9
A201900106,8.1.2019,Mannheim,K7576,NAO-Roboter,27,8400.0
A201900107,6.1.2019,Neustadt,K3330,Spielzeugroboter,13,49.99
A201900108,1.1.2019,Mannheim,K6142,Staubsaugerroboter,24,398.95
A201900109,10.1.2019,Neustadt,K3925,Lego-Roboter,23,129.9
A201900110,2.1.2019,Heidelberg,K6220,Staubsaugerroboter,26,398.95
A201900111,7.1.2019,Speyer,K7338,NAO-Roboter,32,8400.0
A201900112,4.1.2019,Schwetzingen,K0693,Wischroboter,9,289.0
A201900113,11.1.2019,Speyer,K8735,NAO-Roboter,19,8400.0
A201900114,12.1.2019,Heidelberg,K3940,Staubsaugerroboter,8,398.95
A201900115,7.1.2019,Mannheim,K3665,Wischroboter,12,289.0
A201900116,10.1.2019,Schwetzingen,K7869,Lego-Roboter,38,129.9
A201900117,6.1.2019,Speyer,K0778,Wischroboter,32,289.0
A201900118,5.1.2019,Schwetzingen,K0248,Staubsaugerroboter,14,398.95
A201900119,6.1.2019,Neustadt,K6294,Lego-Roboter,7,129.9
A201900120,3.1.2019,Heidelberg,K9599,Spielzeugroboter,21,49.99
A201900121,3.1.2019,Speyer,K3650,Spielzeugroboter,2,49.99
A201900122,3.1.2019,Speyer,K9216,Staubsaugerroboter,38,398.95
A201900123,1.1.2019,Neustadt,K6122,Staubsaugerroboter,12,398.95
A201900124,2.1.2019,Mannheim,K5727,Wischroboter,36,289.0
A201900125,2.1.2019,Neustadt,K4246,Wischroboter,23,289.0
A201900126,5.1.2019,Neustadt,K5356,Staubsaugerroboter,1,398.95
A201900127,7.1.2019,Schwetzingen,K3582,Staubsaugerroboter,20,398.95
A201900128,2.1.2019,Schwetzingen,K3250,Staubsaugerroboter,12,398.95
A201900129,7.1.2019,Neustadt,K1777,Lego-Roboter,1,129.9
A201900130,3.1.2019,Mannheim,K8316,Spielzeugroboter,37,49.99
A201900131,12.1.2019,Schwetzingen,K6964,Spielzeugroboter,32,49.99
A201900132,6.1.2019,Mannheim,K7657,Wischroboter,11,289.0
A201900133,4.1.2019,Heidelberg,K2345,Spielzeugroboter,29,49.99
A201900134,1.1.2019,Neustadt,K1087,NAO-Roboter,1,8400.0
A201900135,1.1.2019,Schwetzingen,K4236,Wischroboter,35,289.0
A201900136,12.1.2019,Schwetzingen,K7276,NAO-Roboter,41,8400.0
A201900137,3.1.2019,Neustadt,K3062,Lego-Roboter,2,129.9
A201900138,2.1.2019,Heidelberg,K8830,NAO-Roboter,36,8400.0
A201900139,12.1.2019,Schwetzingen,K8591,Spielzeugroboter,41,49.99
A201900140,2.1.2019,Heidelberg,K4013,Staubsaugerroboter,6,398.95
A201900141,3.1.2019,Heidelberg,K2243,Staubsaugerroboter,40,398.95
A201900142,5.1.2019,Schwetzingen,K8009,NAO-Roboter,20,8400.0
A201900143,1.1.2019,Schwetzingen,K0547,Wischroboter,19,289.0
A201900144,5.1.2019,Heidelberg,K6386,Wischroboter,26,289.0
A201900145,11.1.2019,Speyer,K4704,Spielzeugroboter,24,49.99
A201900146,3.1.2019,Schwetzingen,K7936,Spielzeugroboter,10,49.99
A201900147,5.1.2019,Heidelberg,K1825,Lego-Roboter,36,129.9
A201900148,5.1.2019,Neustadt,K3271,Spielzeugroboter,28,49.99
A201900149,7.1.2019,Neustadt,K3685,Lego-Roboter,37,129.9
A201900150,4.1.2019,Heidelberg,K9418,Wischroboter,26,289.0
A201900151,9.1.2019,Schwetzingen,K8817,Lego-Roboter,2,129.9
A201900152,9.1.2019,Heidelberg,K9223,Lego-Roboter,13,129.9
A201900153,7.1.2019,Mannheim,K3419,Staubsaugerroboter,4,398.95
A201900154,5.1.2019,Neustadt,K7626,Spielzeugroboter,23,49.99
A201900155,9.1.2019,Heidelberg,K5892,Staubsaugerroboter,31,398.95
A201900156,10.1.2019,Mannheim,K4808,Lego-Roboter,40,129.9
A201900157,9.1.2019,Mannheim,K8870,Lego-Roboter,23,129.9
A201900158,4.1.2019,Schwetzingen,K8845,Staubsaugerroboter,21,398.95
A201900159,6.1.2019,Schwetzingen,K1319,Spielzeugroboter,34,49.99
A201900160,9.1.2019,Speyer,K7810,Spielzeugroboter,34,49.99
A201900161,9.1.2019,Schwetzingen,K1671,Spielzeugroboter,5,49.99
A201900162,4.1.2019,Speyer,K3258,Staubsaugerroboter,7,398.95
A201900163,3.1.2019,Mannheim,K1097,NAO-Roboter,30,8400.0
A201900164,10.1.2019,Mannheim,K3747,Wischroboter,24,289.0
A201900165,8.1.2019,Schwetzingen,K3768,Lego-Roboter,25,129.9
A201900166,3.1.2019,Speyer,K8395,Wischroboter,15,289.0
A201900167,11.1.2019,Neustadt,K8435,NAO-Roboter,36,8400.0
A201900168,4.1.2019,Speyer,K6555,Wischroboter,39,289.0
A201900169,10.1.2019,Speyer,K2827,Staubsaugerroboter,10,398.95
A201900170,6.1.2019,Heidelberg,K0425,Staubsaugerroboter,18,398.95
A201900171,2.1.2019,Schwetzingen,K9192,NAO-Roboter,32,8400.0
A201900172,9.1.2019,Heidelberg,K2879,Lego-Roboter,19,129.9
A201900173,6.1.2019,Schwetzingen,K5879,NAO-Roboter,5,8400.0
A201900174,8.1.2019,Mannheim,K2901,Spielzeugroboter,17,49.99
A201900175,5.1.2019,Heidelberg,K6009,Spielzeugroboter,8,49.99
A201900176,4.1.2019,Mannheim,K5832,Lego-Roboter,1,129.9
A201900177,10.1.2019,Schwetzingen,K0278,Spielzeugroboter,35,49.99
A201900178,7.1.2019,Neustadt,K5145,Lego-Roboter,34,129.9
A201900179,8.1.2019,Schwetzingen,K6448,Staubsaugerroboter,26,398.95
A201900180,4.1.2019,Schwetzingen,K6650,Staubsaugerroboter,37,398.95
A201900181,8.1.2019,Mannheim,K3448,Staubsaugerroboter,1,398.95
A201900182,5.1.2019,Mannheim,K4896,Spielzeugroboter,17,49.99
A201900183,11.1.2019,Neustadt,K2880,Staubsaugerroboter,1,398.95
A201900184,7.1.2019,Heidelberg,K5126,Spielzeugroboter,3,49.99
A201900185,1.1.2019,Neustadt,K5488,Lego-Roboter,31,129.9
A201900186,4.1.2019,Schwetzingen,K2373,Spielzeugroboter,33,49.99
A201900187,2.1.2019,Speyer,K4411,Lego-Roboter,17,129.9
A201900188,2.1.2019,Schwetzingen,K2221,Lego-Roboter,30,129.9
A201900189,5.1.2019,Neustadt,K1116,NAO-Roboter,7,8400.0
A201900190,4.1.2019,Heidelberg,K5414,NAO-Roboter,18,8400.0
A201900191,12.1.2019,Schwetzingen,K3617,Lego-Roboter,36,129.9
A201900192,11.1.2019,Mannheim,K0759,Staubsaugerroboter,8,398.95
A201900193,3.1.2019,Neustadt,K0003,Lego-Roboter,33,129.9
A201900194,7.1.2019,Schwetzingen,K7826,Lego-Roboter,21,129.9
A201900195,4.1.2019,Speyer,K3360,NAO-Roboter,40,8400.0
A201900196,9.1.2019,Speyer,K2597,Staubsaugerroboter,29,398.95
A201900197,7.1.2019,Neustadt,K7016,Spielzeugroboter,34,49.99
A201900198,3.1.2019,Heidelberg,K5603,Lego-Roboter,25,129.9
A201900199,5.1.2019,Neustadt,K1452,Wischroboter,32,289.0
A201900200,4.1.2019,Heidelberg,K3174,Spielzeugroboter,18,49.99
A201900201,1.1.2019,Mannheim,K6388,Lego-Roboter,9,129.9
A201900202,5.1.2019,Speyer,K8145,NAO-Roboter,13,8400.0
A201900203,6.1.2019,Schwetzingen,K3459,Lego-Roboter,38,129.9
A201900204,1.1.2019,Speyer,K6828,Staubsaugerroboter,6,398.95
A201900205,12.1.2019,Speyer,K6328,NAO-Roboter,3,8400.0
A201900206,2.1.2019,Mannheim,K4161,Staubsaugerroboter,2,398.95
A201900207,8.1.2019,Schwetzingen,K6397,Lego-Roboter,13,129.9
A201900208,11.1.2019,Neustadt,K8797,Spielzeugroboter,9,49.99
A201900209,6.1.2019,Mannheim,K3129,Staubsaugerroboter,34,398.95
A201900210,12.1.2019,Schwetzingen,K4356,NAO-Roboter,42,8400.0
A201900211,9.1.2019,Mannheim,K8606,Spielzeugroboter,22,49.99
A201900212,1.1.2019,Heidelberg,K2279,Wischroboter,20,289.0
A201900213,4.1.2019,Schwetzingen,K6254,Spielzeugroboter,26,49.99
A201900214,6.1.2019,Mannheim,K5594,Staubsaugerroboter,23,398.95
A201900215,1.1.2019,Neustadt,K3575,Wischroboter,39,289.0
A201900216,6.1.2019,Heidelberg,K1469,Staubsaugerroboter,3,398.95
A201900217,8.1.2019,Schwetzingen,K8463,Spielzeugroboter,7,49.99
A201900218,6.1.2019,Heidelberg,K3664,Lego-Roboter,38,129.9
A201900219,10.1.2019,Neustadt,K7977,Staubsaugerroboter,11,398.95
A201900220,6.1.2019,Mannheim,K3967,Staubsaugerroboter,14,398.95
A201900221,4.1.2019,Schwetzingen,K7468,Lego-Roboter,13,129.9
A201900222,11.1.2019,Schwetzingen,K4292,Lego-Roboter,31,129.9
A201900223,4.1.2019,Mannheim,K6723,Wischroboter,36,289.0
A201900224,9.1.2019,Speyer,K8443,Lego-Roboter,28,129.9
A201900225,5.1.2019,Mannheim,K8169,Wischroboter,22,289.0
A201900226,9.1.2019,Schwetzingen,K4569,Lego-Roboter,37,129.9
A201900227,10.1.2019,Speyer,K0259,Wischroboter,3,289.0
